#{"t_start": 1770078423.673936, "env_id": "None"}
r,l,t
200.0,1000,652.877868
170.0,1000,653.482988
170.0,1000,654.651161
170.0,1000,655.268287
150.0,1000,656.325347
170.0,1000,656.937944
170.0,1000,658.03297
150.0,1000,658.635111
170.0,1000,659.732173
170.0,1000,660.336314
150.0,1000,661.478229
150.0,1000,662.080426
170.0,1000,663.156832
170.0,1000,663.788015
170.0,1000,664.421765
170.0,1000,665.585001
170.0,1000,666.416259
170.0,1000,667.646201
170.0,1000,668.273733
170.0,1000,669.363397
170.0,1000,670.134678
170.0,1000,671.262401
170.0,1000,671.875476
170.0,1000,672.95739
200.0,1000,673.580246
142.38,262,674.166772
170.0,1000,674.785774
170.0,1000,675.414175
200.0,1000,676.531366
200.0,1000,677.168627
200.0,1000,678.268526
170.0,1000,678.895906
200.0,1000,679.995152
170.0,1000,680.620094
200.0,1000,681.715283
200.0,1000,682.340085
200.0,1000,683.409461
200.0,1000,684.039166
200.0,1000,685.122142
195.01,999,685.739121
200.0,1000,686.827446
200.0,1000,687.453361
200.0,1000,688.538612
200.0,1000,689.162885
200.0,1000,690.257897
200.0,1000,690.87755
200.0,1000,691.965739
200.0,1000,692.582329
200.0,1000,693.65867
200.0,1000,694.2622
200.0,1000,695.343927
200.0,1000,695.95857
195.16,984,697.031892
200.0,1000,697.641577
200.0,1000,698.714477
142.59,241,698.828855
200.0,1000,699.4473
142.58,242,699.5641
200.0,1000,700.6479
200.0,1000,701.2683
200.0,1000,702.351906
200.0,1000,702.969489
200.0,1000,704.05221
200.0,1000,704.656213
200.0,1000,705.742719
240.0,1000,706.368266
200.0,1000,707.483014
200.0,1000,708.116865
200.0,1000,709.221095
240.0,1000,709.859005
200.0,1000,710.938694
200.0,1000,711.562618
240.0,1000,712.659312
200.0,1000,713.282274
200.0,1000,714.36631
200.0,1000,714.985479
200.0,1000,716.071266
200.0,1000,716.696897
200.0,1000,717.795428
200.0,1000,718.463746
200.0,1000,719.566358
200.0,1000,720.199877
200.0,1000,721.256001
200.0,1000,721.973912
200.0,1000,723.067806
200.0,1000,723.691056
200.0,1000,724.797112
170.0,1000,725.379415
170.0,1000,726.457229
170.0,1000,727.057318
150.0,1000,727.660533
170.0,1000,728.717564
170.0,1000,729.310336
200.0,1000,730.340326
150.0,1000,730.909114
150.0,1000,731.917788
190.0,1000,732.424139
140.0,1000,733.378045
140.0,1000,733.886159
140.0,1000,734.844554
190.0,1000,735.348079
140.0,1000,736.305749
140.0,1000,736.805382
